Mærke;Produktnavn;Varenr;Pris;Personlængde (cm);Komforttemp (°C);Laveste temp (°C);Anbefalet temp;Fyld;Vægt (g);Farve;Sæson;Sortiment;Lagerstatus;Note
Marmot;Nanowave 55 (M);38901001;699;183;15,6;12,4;Ikke oplyst;Fiber;820;Grå (STEEL ONYX);Sommer;Butik;;
Marmot;Nanowave 55 (M);38901002;799;198;15,6;12,4;Ikke oplyst;Fiber;880;Grå (STEEL ONYX);Sommer;Butik;;
Marmot;Nanowave 35 (M);38902001;849;183;7,8;3,3;Ikke oplyst;Fiber;1050;Grøn (CROCODILE);Sommer;Butik;;
Marmot;Nanowave 35 (M);38902002;949;198;7,8;3,3;Ikke oplyst;Fiber;1190;Grøn (CROCODILE);Sommer;Butik;;
Marmot;Micron 40;37512002;1649;183;8;3,5;Ikke oplyst;Dun (650 imp);620;Rød (SIENNA RED/TOMATO);Sommer;Butik;;
Marmot;Micron 40;37512001;1799;198;8;3,5;Ikke oplyst;Dun (650 imp);723;Rød (SIENNA RED/TOMATO);Sommer;Butik;;
RAB;Solar Ultra 1 (M);41798001;1799;185;6;1;Ikke oplyst;Fiber;880;Grå (GRANITE);Sommer;Butik;;
RAB;Solar Ultra 1 (M);41798002;1899;200;6;1;Ikke oplyst;Fiber;950;Grå (GRANITE);Sommer;Butik;;
Marmot;Micron 30;41575001;2049;183;3,6;-1,7;Ikke oplyst;Dun (650 imp);850;Grøn (CILANTRO/TREE GREEN);Sommer;Butik;;
Marmot;Micron 30;41575002;2199;198;3,6;-1,7;Ikke oplyst;Dun (650 imp);910;Grøn (CILANTRO/TREE GREEN);Sommer;Butik;;
Marmot;Atom;40867001;3299;183;6;1;Ikke oplyst;Dun (800 imp);620;Rød (VICTORY RED/TEAM RED);Sommer;Butik;;
Marmot;Atom;40867002;3449;198;6;1;Ikke oplyst;Dun (800 imp);675;Rød (VICTORY RED/TEAM RED);Sommer;Butik;;
Western Mountaineering;MityLite;38427001;4299;190;4;4;Ikke oplyst;Dun (850);735;Grøn;Sommer;Butik;;
Western Mountaineering;Caribou MF;16935005;3999;180;4;-1;Ikke oplyst;Dun (850);595;Blå;Sommer;Butik;;
Western Mountaineering;Caribou MF;16935003;4099;200;4;-1;Ikke oplyst;Dun (850);650;Blå;Sommer;Butik;;
Western Mountaineering;SummerLite;25343003;4399;165;5;0;Ikke oplyst;Dun (850);510;Rød;Sommer;Butik;;
Western Mountaineering;SummerLite;25343001;4599;180;5;0;Ikke oplyst;Dun (850);540;Rød;Sommer;Butik;;
Western Mountaineering;SummerLite;25343002;4699;200;5;0;Ikke oplyst;Dun (850);595;Rød;Sommer;Butik;;
Marmot;Trestles Elite Eco 30 (W);38898001;1349;168;-1,3;-7,4;Ikke oplyst;Fiber;1041;Grøn (WHEATGRASS/CROCODILE);3-sæson;Butik;;
Marmot;Trestles Elite Eco 30 (W);38898002;1399;183;-1,3;-7,4;Ikke oplyst;Fiber;1133;Grøn (WHEATGRASS/CROCODILE);3-sæson;Butik;;
Marmot;Trestles Elite Eco 30 (M);38898001;1349;168;3,1;-2,2;Ikke oplyst;Fiber;855;Grøn (WHEATGRASS/CROCODILE);3-sæson;Butik;;
Marmot;Trestles Elite Eco 30 (M);38898002;1399;183;3,1;-2,2;Ikke oplyst;Fiber;918;Grøn (WHEATGRASS/CROCODILE);3-sæson;Butik;;
Marmot;Trestles Elite Eco 20 (M);38896001;1499;183;0,1;-5,8;Ikke oplyst;Fiber;1077;Blå (ESTATE BLUE/CLASSIC BLUE);3-sæson;Butik;;
Marmot;Trestles Elite Eco 20 (M);38896002;1599;198;0,1;-5,8;Ikke oplyst;Fiber;1160;Blå (ESTATE BLUE/CLASSIC BLUE);3-sæson;Butik;;
Marmot;Trestles Elite Eco 20 (W);38899001;1499;168;-6,5;-13,4;Ikke oplyst;Fiber;1214;Blå (MIDNIGHT/STORM);3-sæson;Butik;;
Marmot;Trestles Elite Eco 20 (W);38899002;1599;183;-6,5;-13,4;Ikke oplyst;Fiber;1326;Blå (MIDNIGHT/STORM);3-sæson;Butik;;
Marmot;Trestles Elite Eco 15 (M);38897001;1599;183;-3,5;-9,9;Ikke oplyst;Fiber;1202;Blå (CLEAR BLUE/CLASSIC BLUE);3-sæson;Butik;;
Marmot;Trestles Elite Eco 15 (M);38897002;1649;198;-3,5;-9,9;Ikke oplyst;Fiber;1292;Blå (CLEAR BLUE/CLASSIC BLUE);3-sæson;Butik;;
RAB;Solar Ultra 2 (W);41800001;1999;170;2;-4;Ikke oplyst;Fiber;1050;Grå (GRANITE);3-sæson;Butik;;
RAB;Solar Ultra 3 (W);41802001;2099;170;0;-6;Ikke oplyst;Fiber;1270;Grå (DARK PEWTER);3-sæson;Butik;;
RAB;Solar Ultra 2 (M);41799001;1999;185;2;-4;Ikke oplyst;Fiber;1140;Grå (GRANITE);3-sæson;Butik;;
RAB;Solar Ultra 2 (M);41799002;2099;200;2;-4;Ikke oplyst;Fiber;1230;Grå (GRANITE);3-sæson;Butik;;
RAB;Solar Ultra 3 (M);41801001;2099;185;0;-6;Ikke oplyst;Fiber;1360;Grå (GRANITE);3-sæson;Butik;;
RAB;Solar Ultra 3 (M);41801002;2199;200;0;-6;Ikke oplyst;Fiber;1470;Grå (GRANITE);3-sæson;Butik;;
Marmot;Micron 15;41576001;2449;183;-6,4;-13,3;Ikke oplyst;Dun (650 imp);1130;Blå (SURF/ARCTIC NAVY);3-sæson;Butik;;
Marmot;Micron 16;41576002;2599;198;-6,4;-13,3;Ikke oplyst;Dun (650 imp);1210;Blå (SURF/ARCTIC NAVY);3-sæson;Butik;;
Marmot;Micron 25 (W);41578001;2549;168;-5,6;-12,4;Ikke oplyst;Dun (650 imp);1160;Grøn (MALACHITE/DEEP TEAL);3-sæson;Butik;;
Marmot;Micron 25 (W);41578002;2699;183;-5,6;-12,4;Ikke oplyst;Dun (650 imp);1210;Grøn (MALACHITE/DEEP TEAL);3-sæson;Butik;;
RAB;Alpine 400 (W);41796001;2499;170;-1;-7;Ikke oplyst;Dun (650 imp);810;Blå (ATLANTIS);3-sæson;Butik;;
RAB;Alpine 400 (M);41795001;2499;185;-1;-7;Ikke oplyst;Dun (650 imp);840;Blå (INK);3-sæson;Butik;;
RAB;Alpine 400 (M);41795002;2699;200;-1;-7;Ikke oplyst;Dun (650 imp);890;Blå (INK);3-sæson;Butik;;
RAB;Alpine 600 (M);41797001;2799;185;-5;-12;Ikke oplyst;Dun (650 imp);1050;Rød (RED CLAY);3-sæson;Butik;;
RAB;Alpine 600 (M);41797002;2999;200;-5;-12;Ikke oplyst;Dun (650 imp);1105;Rød (RED CLAY);3-sæson;Butik;;
Marmot;Teton (W);43060001;3149;168;-10;-18;Ikke oplyst;Dun (650 imp);1700;Lilla (PAISLEY PURPLE/ARCTIC NAVY);3-sæson;Butik;;
Marmot;Teton (W);43060002;3299;183;-10;-18;Ikke oplyst;Dun (650 imp);1780;Lilla (PAISLEY PURPLE/ARCTIC NAVY);3-sæson;Butik;;
